,Search key,Page,"Price, RUB",Subway name,"Subway dist, m"
0,MacBook Pro 13’’ touch pad,https://www.avito.ru/moskva/noutbuki/macbook_pro_13_touch_pad_1894125972,85000,Речной вокзал, 700 
1,MacBook AIR/PRO,https://www.avito.ru/moskva/noutbuki/macbook_airpro_1281982879,13900,Павелецкая, 300 
2,MacBook Pro 15 2018 256Gb TouchBar SpaceGray,https://www.avito.ru/moskva/noutbuki/macbook_pro_15_2018_256gb_touchbar_spacegray_1893646640,114000,Октябрьское поле,
3,Macbook Pro Retina 13 2015,https://www.avito.ru/moskva/noutbuki/macbook_pro_retina_13_2015_1921419818,48500,ВДНХ, 100 
4,MAC toledo palette / мак новая палетка теней,https://www.avito.ru/moskva/krasota_i_zdorove/mac_toledo_palette_mak_novaya_paletka_teney_968580699,1500,Киевская, 100 
5,Зарядка для Macbook Зарядка для Macbook,https://www.avito.ru/moskva/tovary_dlya_kompyutera/zaryadka_dlya_macbook_zaryadka_dlya_macbook_1919257834,1723,Парк Победы,1100
6,Зарядка для Macbook Зарядка для Macbook,https://www.avito.ru/moskva/tovary_dlya_kompyutera/zaryadka_dlya_macbook_zaryadka_dlya_macbook_1919770731,1750,Охотный ряд, 300 
7,Зарядка для Macbook Зарядка для Macbook,https://www.avito.ru/moskva/tovary_dlya_kompyutera/zaryadka_dlya_macbook_zaryadka_dlya_macbook_1919245189,1730,Андроновка,1300
8,Зарядка для Macbook Зарядка для Macbook,https://www.avito.ru/moskva/tovary_dlya_kompyutera/zaryadka_dlya_macbook_zaryadka_dlya_macbook_1918958747,1764,Соколиная гора,1600
9,MacBook Pro Макбук Про 13-дюймов 2012 г,https://www.avito.ru/moskva/noutbuki/macbook_pro_makbuk_pro_13-dyuymov_2012_g_1903469531,30000,Дмитровская,
10,Помада MAC,https://www.avito.ru/moskva/krasota_i_zdorove/pomada_mac_1378181119,300,Пражская, 100 
11,SSD 1TB Apple MacBook Pro iMac Макбук,https://www.avito.ru/moskva/tovary_dlya_kompyutera/ssd_1tb_apple_macbook_pro_imac_makbuk_1897632248,28000,Кантемировская, 300 
12,Macbook Air 2018 Retina,https://www.avito.ru/moskva/noutbuki/macbook_air_2018_retina_1946576578,47000,Фонвизинская, 700 
13,Apple MacBook Air 13,https://www.avito.ru/moskva/noutbuki/apple_macbook_air_13_1919545887,23000,Марксистская, 400 
14,Зарядка для макбука Air/Pro Magsafe 1/2,https://www.avito.ru/moskva/tovary_dlya_kompyutera/zaryadka_dlya_makbuka_airpro_magsafe_12_1919806955,1750,Белорусская, 200 
15,Apple Mac Pro,https://www.avito.ru/moskva/nastolnye_kompyutery/apple_mac_pro_1787161922,18000,Теплый стан,
16,MacBook Air 13 i5 4Gb 128SSD (гарантия чек),https://www.avito.ru/moskva/noutbuki/macbook_air_13_i5_4gb_128ssd_garantiya_chek_1871414952,23990,Автозаводская, 300 
17,Ремонт iMac Macbook Macbook Air,https://www.avito.ru/moskva/predlozheniya_uslug/remont_imac_macbook_macbook_air_1866956052,300,Тимирязевская, 400 
18,Новая толстовка Mac Natalina,https://www.avito.ru/moskva/odezhda_obuv_aksessuary/novaya_tolstovka_mac_natalina_1895014148,8000,Тушинская, 100 
19,MacBook,https://www.avito.ru/moskva/noutbuki/macbook_1380340717,26300,Павелецкая, 400 
20,MacBook 13 дюймов 2008 late,https://www.avito.ru/moskva/noutbuki/macbook_13_dyuymov_2008_late_1929634843,9800,Лухмановская,
21,Mac Mini MD387 (Late 2012) 4-16 Gb озу SSD/HDD,https://www.avito.ru/moskva/nastolnye_kompyutery/mac_mini_md387_late_2012_4-16_gb_ozu_ssdhdd_1211113776,23500,Павелецкая,
22,Грузовик Мак для Мини тачек оригинал,https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki/gruzovik_mak_dlya_mini_tachek_original_1813901312,1990,Пятницкое шоссе,1000
23,Помада MAC,https://www.avito.ru/moskva/krasota_i_zdorove/pomada_mac_1262318784,500,Свиблово, 100 
24,Apple MacBook Pro 13 2017 Как Новый,https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_13_2017_kak_novyy_1848788735,59999,Серпуховская, 100 
25,Mac стойкий Гель для бровей и карандаш Новые Ориги,https://www.avito.ru/moskva/krasota_i_zdorove/mac_stoykiy_gel_dlya_brovey_i_karandash_novye_origi_1815734903,200,Савеловская, 100 
26,Помада MAC Liptensity Lipstick,https://www.avito.ru/moskva/krasota_i_zdorove/pomada_mac_liptensity_lipstick_1879939841,300,ЦСКА,
27,Румяна Mac оригинал,https://www.avito.ru/moskva/krasota_i_zdorove/rumyana_mac_original_1835319538,800,Проспект Вернадского, 800 
28,Кисть mac 159,https://www.avito.ru/moskva/krasota_i_zdorove/kist_mac_159_1826426467,1000,Хорошевская, 100 
29,MacBook Pro 16 2019,https://www.avito.ru/moskva/noutbuki/macbook_pro_16_2019_1920481854,120000,Площадь революции, 400 
30,Помады новые. mac и другие,https://www.avito.ru/moskva/krasota_i_zdorove/pomady_novye._mac_i_drugie_1844830815,200,Улица академика Янгеля,2900
31,Apple MacBook Pro 13 2017,https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_13_2017_1923094585,65000,Балтийская,
32,Ремонт MacBook в Москве,https://www.avito.ru/moskva/predlozheniya_uslug/remont_macbook_v_moskve_1829946757,1500,Раменки, 200 
33,"Fleetwood Mac ""Behind the mask"" 1990 винил Germany",https://www.avito.ru/moskva/audio_i_video/fleetwood_mac_behind_the_mask_1990_vinil_germany_115471352,1500,Кропоткинская, 200 
34,Video Card Power Cable for Apple Mac G5/Mac Pro,https://www.avito.ru/moskva/tovary_dlya_kompyutera/video_card_power_cable_for_apple_mac_g5mac_pro_1145098208,500,Шипиловская,
35,MacBook Pro 16 2019 i9 32GB 1TB,https://www.avito.ru/moskva/noutbuki/macbook_pro_16_2019_i9_32gb_1tb_1908127806,285000,Багратионовская, 400 
36,Тени Mac новые оригинал,https://www.avito.ru/moskva/krasota_i_zdorove/teni_mac_novye_original_1939663104,700,Сокол,1000
37,MacBook Pro 15 2017,https://www.avito.ru/moskva/noutbuki/macbook_pro_15_2017_1948928552,112000,Киевская, 100 
38,Apple Macbook Pro 13 late 2011,https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_13_late_2011_1785022134,24000,Чертановская,
39,Apple MacBook Air 2017,https://www.avito.ru/moskva/noutbuki/apple_macbook_air_2017_1923980611,40000,Алексеевская, 800 
40,MacBook Pro 13 i5 4Gb 500Gb (гарантия чек),https://www.avito.ru/moskva/noutbuki/macbook_pro_13_i5_4gb_500gb_garantiya_chek_1775939404,21990,Автозаводская, 300 
41,Мак Тайм золотые часы,https://www.avito.ru/moskva/chasy_i_ukrasheniya/mak_taym_zolotye_chasy_1495889387,70000,Смоленская, 500 
42,Apple MacBook Pro 15 2018 Touch Bar Core i7,https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_15_2018_touch_bar_core_i7_1913944513,127000,Площадь революции, 400 
43,Косметика MAC Bobbi brown Smashbox Maybelinne,https://www.avito.ru/moskva/krasota_i_zdorove/kosmetika_mac_bobbi_brown_smashbox_maybelinne_1832982044,1000,Кантемировская, 900 
44,Apple MacBook Pro 15 2015 (512 Гб),https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_15_2015_512_gb_1937784762,40000,Площадь революции, 400 
45,Планка мак вивер,https://www.avito.ru/moskva/sport_i_otdyh/planka_mak_viver_1909736472,4000,ЦСКА, 800 
46,"MacBook Pro 15"" i7 2.5GHz/SSD 512Gb/16Gb",https://www.avito.ru/moskva/noutbuki/macbook_pro_15_i7_2.5ghzssd_512gb16gb_1929247155,70000,Кантемировская, 300 
47,Мак Тайм золотые часы,https://www.avito.ru/moskva/chasy_i_ukrasheniya/mak_taym_zolotye_chasy_1864660601,78000,Октябрьское поле,
48,Кожаный чехол для MacBook 13,https://www.avito.ru/moskva/tovary_dlya_kompyutera/kozhanyy_chehol_dlya_macbook_13_1871751859,3000,Лухмановская,1000
49,Тени mac,https://www.avito.ru/moskva/krasota_i_zdorove/teni_mac_1169095262,300,Бабушкинская,
